,Parent Mountain,Short Name,Long Name
0,Longs Peak,long1,Keyhole Route (Standard)
1,Pikes Peak,pikeeast,East Slopes (Standard)
2,Mt. Evans,evan1,West Ridge from Echo Lake
3,Mt. Bierstadt,bier1,West Slopes (Standard)
4,Grays Peak,gray1,North Slopes (Standard)
5,Torreys Peak,torr2,South Slopes (Standard)
6,Quandary Peak,quan1,East Ridge (Standard)
7,Mt. Sherman,sher1,Southwest Ridge (Standard)
8,Mt. Lincoln,linc1,West Ridge (Standard)
9,Mt. Cameron,came1,West Ridge (Standard)
10,Mt. Bross,bros1,East Slopes from Mineral Park
11,Mt. Democrat,demo1,East Slope (Standard)
12,Mt. Elbert,elbe1,Northeast Ridge (Standard)
13,Mt. Massive,mass1,East Slopes (Standard)
14,La Plata Peak,lapl1,Northwest Ridge (Standard)
15,Mt. Antero,ante1,West Slopes (Standard)
16,Mt. Princeton,prin1,East Slopes (Standard)
17,Mt. Yale,yale1,Southwest Slopes (Standard)
18,Mt. of the Holy Cross,holy1,North Ridge (Standard)
19,Huron Peak,huro1,Northwest Slopes (Standard)
20,Mt. Belford,belf1,Northwest Ridge (Standard)
21,Mt. Oxford,oxfo2,Via Mt. Belford (Standard)
22,Missouri Mountain,miss1,Northwest Ridge (Standard)
23,Mt. Harvard,harv1,South Slopes (Standard)
24,Mt. Columbia,colu2,West Slopes (Standard)
25,Mt. Shavano,shav1,East Slopes (Standard)
26,Tabeguache Peak,tabe2,Via Mt. Shavano (Standard)
27,Capitol Peak,capi1,Northeast Ridge (Standard)
28,Snowmass Mountain,snow1,East Slopes (Standard)
29,Castle Peak,cast1,Northeast Ridge (Standard)
30,Conundrum Peak,conu1,South Ridge (Standard)
31,Maroon Peak,maro1,South Ridge (Standard)
32,Pyramid Peak,pyra1,Northeast Ridge (Standard)
33,North Maroon Peak,nmar2,Northeast Ridge (Standard)
34,Uncompahgre Peak,unco1,South Ridge (Standard)
35,Mt. Sneffels,snef1,South Slopes (Standard)
36,Handies Peak,hand1,Southwest Slopes (Standard)
37,Wetterhorn Peak,wett1,Southeast Ridge (Standard)
38,San Luis Peak,sanl1,Northeast Ridge (Standard)
39,Mt. Eolus,chib1,Chicago Basin Approach
40,Windom Peak,wind1,West Ridge (Standard)
41,Sunlight Peak,sunl2,South Face (Standard)
42,North Eolus,neol4,South Ridge (Standard)
43,Mt. Wilson,nava0,Navajo Lake Approach
44,El Diente Peak,eldi3,North Slopes (Standard)
45,Wilson Peak,silv0,Rock of Ages Approach
46,Redcloud Peak,redc1,Northeast Ridge (Standard)
47,Sunshine Peak,suns2,Via Redcloud Peak (Standard)
48,Culebra Peak,cule1,Northwest Ridge (Standard)
49,Mt. Lindsey,lind1,Northwest Gully (Standard)
50,Blanca Peak,como0,Lake Como Approach
51,Ellingwood Point,elli2,South Face (Standard)
52,Little Bear Peak,litt6,West Ridge and Southwest Face (Standard)
53,Kit Carson Peak,will0,Willow Creek Approach
54,Challenger Point,chal1,North Slope (Standard)
55,Crestone Peak,cpea2,South Face (Standard)
56,Crestone Needle,cnee1,South Face (Standard)
57,Humboldt Peak,humb1,West Ridge (Standard)
